['agama', 0.8343351485804105]
['berkabung', 0.8817891079246825]
['berkah-nya', 0.8817891079246825]
['berkendaraan', 0.8736055136829092]
['berkhitan', 0.8842398331231328]
['berkirim', 0.8842398331231328]
['berkulit', 0.8736055136829092]
['berkurban', 0.7948491061532027]
['berlaku', 0.8404153070545496]
['berlari', 0.8545345333145079]
['berlindung', 0.8817891079246825]
['berlututnya', 0.8736055136829092]
['bermakmum', 0.8736055136829092]
['bermaksiat', 0.8715043552751464]
['bermalam', 0.8736055136829092]
['bermimpi', 0.8736055136829092]
['bermunajat', 0.8842398331231328]
['bernafas', 0.894417538569415]
['bernama', 0.8736055136829092]
['berpakaian', 0.8687431871012148]
['berpaling', 0.8842398331231328]
['berpegang', 0.8842398331231328]
['berpisah', 0.8736055136829092]
['berpuasa', 0.8842398331231328]
['bersabda', 0.5959109243856453]
['bersaksi', 0.8234430881715846]
['bersamaan', 0.8375623144315429]
['bersamaku', 0.8736055136829092]
['bersamanya', 0.8545345333145079]
['bersandar', 0.8736055136829092]
['bersedekah', 0.8221507203319027]
['bersedekahlah', 0.8545345333145079]
['berselimut', 0.8817891079246825]
['bersepatu', 0.8736055136829092]
['berserah', 0.8842398331231328]
['berseri-seri', 0.8736055136829092]
['berseru', 0.8736055136829092]
['bersetubuh', 0.8736055136829092]
['bersihkan', 0.8545345333145079]
['bersihkanlah', 0.8469128183801589]
['bersimpuh', 0.8817891079246825]
['bersiwak', 0.8914258629147468]
['bersolek', 0.8817891079246825]
['bersuci', 0.8736055136829092]
['bersucilah', 0.8736055136829092]
['bersucinya', 0.8736055136829092]
['bersumpah', 0.8736055136829092]
['bertahallul', 0.8842398331231328]
['bertahmid', 0.8736055136829092]
['bertakbir', 0.8221507203319027]
['bertakbirlah', 0.8221507203319027]
['bertalbiah', 0.8842398331231328]
['bertambah', 0.8736055136829092]
['bertanyalah', 0.8736055136829092]
['bertasbih', 0.8736055136829092]
['bertasbihlah', 0.8619370126214012]
['bertayamum', 0.8736055136829092]
['bertemu', 0.8736055136829092]
['berumrah', 0.8842398331231328]
['berumur', 0.8736055136829092]
['berusia', 0.8817891079246825]
['berwarna', 0.8817891079246825]
['berwibawa', 0.8842398331231328]
['berwudlu', 0.8079827954468373]
['berwudlulah', 0.8619370126214012]
['berzina', 0.8715043552751464]
['betapa', 0.8736055136829092]
['biarkanlah', 0.8545345333145079]
['bibir', 0.8817891079246825]
['bibirku', 0.8817891079246825]
['bibirnya', 0.8817891079246825]
['bicara', 0.8736055136829092]
['biji', 0.8736055136829092]
['bilal', 0.8079827954468373]
['bilangan', 0.8545345333145079]
['bintang-bintang', 0.8842398331231328]
['bosan', 0.8842398331231328]
['buang', 0.893807175776878]
['buanglah', 0.8898356809251727]
['buatku', 0.8736055136829092]
['buatmu', 0.8545345333145079]
['budak', 0.8375623144315429]
['bukalah', 0.8736055136829092]
['bukit', 0.8545345333145079]
['bumi', 0.8594862874229509]
['bumi-nya', 0.8817891079246825]
['bunuh', 0.8842398331231328]
['buruk', 0.8736055136829092]
['buta', 0.8736055136829092]
['cahayanya', 0.8736055136829092]
['celaka', 0.8736055136829092]
['celana', 0.8404153070545496]
['cepat', 0.8736055136829092]
['cepat-cepat', 0.8817891079246825]
['cincin', 0.8736055136829092]
['cintai', 0.8545345333145079]
['condong', 0.8736055136829092]
['cuci', 0.8736055136829092]
['cucilah', 0.8914258629147468]
['cucu', 0.8736055136829092]
['dadaku', 0.8736055136829092]
['dadamu', 0.8817891079246825]
['daging', 0.8375623144315429]
['dagingnya', 0.8545345333145079]
['dahulukanlah', 0.8842398331231328]
['dalamnya', 0.8032437034374872]
['dapati', 0.8842398331231328]
['darah', 0.7621926888339807]
['darahnya', 0.8619370126214012]
['dariku', 0.8375623144315429]
['darimu', 0.8343351485804105]
['darinya', 0.8221507203319027]
['daripadamu', 0.8736055136829092]
['datangilah', 0.8842398331231328]
['datanglah', 0.8842398331231328]
['datangnya', 0.8736055136829092]
['daun', 0.8736055136829092]
['demikianlah', 0.8842398331231328]
['dengannya', 0.8080314940719444]
['dengar', 0.8545345333145079]
['dengarkanlah', 0.8817891079246825]
['depannya', 0.85064496077488]
['derajat', 0.8736055136829092]
['diajak', 0.8842398331231328]
['diakhirkan', 0.8736055136829092]
['diambil', 0.8736055136829092]
['diamlah', 0.8817891079246825]
['diampuni', 0.8221507203319027]
['diangkat', 0.8736055136829092]
['diatas', 0.8817891079246825]
['diatasnya', 0.8736055136829092]
['dibagi-bagikan', 0.8736055136829092]
['dibanding', 0.8736055136829092]
['dibangun', 0.8842398331231328]
['dibawa', 0.8545345333145079]
['dibawah', 0.8736055136829092]
['dibawahnya', 0.8817891079246825]
['dibawanya', 0.8736055136829092]
['dibenarkan', 0.8736055136829092]
['dibolehkan', 0.8736055136829092]
['dibuang', 0.8736055136829092]
['dibuka', 0.8545345333145079]
['dibunuh', 0.8817891079246825]
['diceritakan', 0.8817891079246825]
['dicintai-nya', 0.8842398331231328]
['dicongkel', 0.8736055136829092]
['didalamnya', 0.8736055136829092]
['didampingi', 0.8817891079246825]
['didapati', 0.8736055136829092]
['didirikan', 0.8842398331231328]
['didustakan', 0.8736055136829092]
['diganti', 0.8736055136829092]
['dihadirkan', 0.8736055136829092]
['dihafalkan', 0.8817891079246825]
['dihalalkan', 0.8736055136829092]
['diharamkan-nya', 0.8817891079246825]
['diharap', 0.8736055136829092]
['dihidangkan', 0.8842398331231328]
['dihukum', 0.8736055136829092]
['diikatkanlah', 0.8736055136829092]
['diikuti', 0.7458683096958332]
['dijadikan', 0.8375623144315429]
['dijadikannya', 0.8104822192703949]
['dijauhkan', 0.8736055136829092]
['dikalahkan', 0.8817891079246825]
['dikaruniai', 0.8736055136829092]
['dikeluarkan', 0.8736055136829092]
['dikembalikan', 0.8736055136829092]
['dikenakan', 0.8736055136829092]
['dikhawatirkan', 0.8404153070545496]
['dikuatkan', 0.8404153070545496]
['dikuburnya', 0.8842398331231328]
['dikumandangkan', 0.861589723190585]
['dilaksanakan', 0.8619370126214012]
['dilakukannya', 0.8736055136829092]
['dilarang', 0.8484819884371072]
['dililitkan', 0.8817891079246825]
['dimaafkannya', 0.893807175776878]
['dimana', 0.8736055136829092]
['dimasak', 0.8817891079246825]
['dimasukkan', 0.8736055136829092]
['dimirajkan', 0.8736055136829092]
['dinding', 0.8545345333145079]
['dingin', 0.8375623144315429]
['diniatkan', 0.8736055136829092]
['dinikmati', 0.8736055136829092]
['dipanggil', 0.8736055136829092]
['dipegang', 0.8736055136829092]
['diperiksa', 0.8842398331231328]
['diperintahkan', 0.8071081875669743]
['dipersembahkan', 0.8545345333145079]
['dipingit', 0.8221507203319027]
['dipotong', 0.8545345333145079]
['dirikan', 0.8545345333145079]
['dirikanlah', 0.8545345333145079]
['diriwayatkan', 0.8428660322529999]
['disabdakannya', 0.8736055136829092]
['disampingnya', 0.8736055136829092]
['disebabkan', 0.760340052985821]
['diselimuti', 0.8736055136829092]
['disembah', 0.8392869026888534]
['disembelih', 0.8736055136829092]
['diserukan', 0.8736055136829092]
['disiksa', 0.8817891079246825]
['disiksanya', 0.893807175776878]
['disucikannya', 0.8736055136829092]
['ditegakkan', 0.8842398331231328]
['ditegakkannya', 0.8736055136829092]
['ditekankan', 0.8736055136829092]
['ditempuh', 0.8736055136829092]
['ditetapkanlah', 0.8736055136829092]
['ditolong', 0.8736055136829092]
['dituangnya', 0.8736055136829092]
['ditulis', 0.8545345333145079]
['diturunkan', 0.8594862874229509]
['diusir', 0.8842398331231328]
['diutus', 0.8375623144315429]
['diwajibkannya', 0.8736055136829092]
['doa', 0.8708443455089776]
['doanya', 0.8736055136829092]
['dosa', 0.8428660322529999]
['dosa-dosanya', 0.8736055136829092]
['dosanya', 0.8375623144315429]
['duduk', 0.6586539826249111]
['duduknya', 0.8817891079246825]
['dunia', 0.8354611560237801]
['dzat', 0.8545345333145079]
['ekor', 0.8545345333145079]
['emasnya', 0.8736055136829092]
['enggan', 0.8545345333145079]
['engkaulah', 0.8079827954468373]
['fakir', 0.8736055136829092]
['firman', 0.8594862874229509]
['fitnah', 0.8736055136829092]
['fitrah', 0.8817891079246825]
['gadis', 0.8079827954468373]
['gadis-gadis', 0.8736055136829092]
['gambarnya', 0.8736055136829092]
['gamis', 0.8736055136829092]
['gandum', 0.8736055136829092]
['ganjil', 0.8500520620446139]
['ganti', 0.8842398331231328]
['gantilah', 0.8736055136829092]
['gelas', 0.894417538569415]
['gelisah', 0.8842398331231328]
['gemilang', 0.8842398331231328]
['gerakkan', 0.8817891079246825]
['gerhana', 0.7228617081326145]
['guru', 0.8736055136829092]
['hadapan', 0.8701206068631746]
['hadapannya', 0.8817891079246825]
['hadir', 0.7963142943853294]
['hadits', 0.7215990738238613]
['haid', 0.73303991840689]
['haidmu', 0.8842398331231328]
['hajat', 0.893807175776878]
['haji', 0.8428660322529999]
['hajiku', 0.8842398331231328]
['hajinya', 0.8842398331231328]
['hal-hal', 0.893807175776878]
['halal', 0.848541525007246]
['hamba-hamba', 0.8817891079246825]
['hamba-hambanya', 0.8545345333145079]
['hantam', 0.8757089494505432]
['haram', 0.8404153070545496]
['haramnya', 0.8736055136829092]
['harapan', 0.8842398331231328]
['hari-hari', 0.8736055136829092]
['harta', 0.8019513355978054]
['hartanya', 0.8736055136829092]
['harus', 0.8375623144315429]
['hati', 0.8701206068631746]
['hatinya', 0.8736055136829092]
['helai', 0.8736055136829092]
['hembusan', 0.8375623144315429]
['hendaklah', 0.539360048957461]
['hendaknya', 0.8375623144315429]
['heran', 0.8736055136829092]
['hewan', 0.7963142943853294]
['hidangan', 0.8736055136829092]
['hidup', 0.8375623144315429]
['hidupnya', 0.7826007994330043]
['hikmah', 0.8736055136829092]
['hilang', 0.8619370126214012]
['hilir', 0.8736055136829092]
['hiruk', 0.8842398331231328]
['hubungan', 0.8736055136829092]
['hujan', 0.8545345333145079]
['hutangmu', 0.8736055136829092]
['hutangnya', 0.8736055136829092]
['ibadah', 0.8375623144315429]
['ibuku', 0.8736055136829092]
['ibunya', 0.893807175776878]
['iklim', 0.8736055136829092]
['ikutilah', 0.861589723190585]
['ikutlah', 0.8736055136829092]
['ilmunya', 0.8842398331231328]
['imam', 0.7112769994388402]
['imamah', 0.8817891079246825]
['imbalan', 0.8736055136829092]
['ingatkanlah', 0.8736055136829092]
['intailah', 0.8736055136829092]
['iqamah', 0.8701206068631746]
['iqamat', 0.8842398331231328]
['iqamatlah', 0.8545345333145079]
['iqamatnya', 0.8842398331231328]
['islam', 0.8428660322529999]
['islamlah', 0.8842398331231328]
['isteri', 0.8736055136829092]
['isteri-isteri', 0.8736055136829092]
['isterinya', 0.8375623144315429]
['isyarat', 0.8234430881715846]
['izin', 0.8221507203319027]
['izinkanlah', 0.8736055136829092]
['jaamiah', 0.8545345333145079]
['jadikan', 0.893807175776878]
['jadikanlah', 0.8338316773768929]
['jagalah', 0.8797573618532389]
['jahannam', 0.8375623144315429]
['jahiliyyah', 0.893807175776878]
['jangan', 0.8066816881849862]
['jangan-jangan', 0.8736055136829092]
['janganlah', 0.7839100831707151]
['jatuh', 0.8594862874229509]
['jauhilah', 0.8736055136829092]
['jauhkanlah', 0.8736055136829092]
['jawablah', 0.8736055136829092]
['jejak', 0.8736055136829092]
['jemawut', 0.8736055136829092]
['jenazah', 0.8817891079246825]
['jihad', 0.8736055136829092]
['jilbab', 0.8736055136829092]
['jilbabnya', 0.8736055136829092]
['jual', 0.8708443455089776]
['jumat', 0.8080314940719444]
['jumrah', 0.8736055136829092]
['junub', 0.8545345333145079]
['jurang', 0.8817891079246825]
['kabah', 0.8375623144315429]
['kabar', 0.8736055136829092]
['kabarkan', 0.8736055136829092]
['kafarat', 0.893807175776878]
['kafir', 0.848541525007246]
['kainku', 0.8736055136829092]
['kainnya', 0.8757089494505432]
['kaki', 0.7337260409619426]
['kakiku', 0.8817891079246825]
['kakimu', 0.8817891079246825]
['kakinya', 0.8137226117517993]
['kalangan', 0.8736055136829092]
['kalimat', 0.8701206068631746]
['kalungnya', 0.8736055136829092]
['kamar-kamar', 0.8736055136829092]
['kamarnya', 0.8736055136829092]
['kambing', 0.7948491061532027]
['kambingku', 0.8736055136829092]
['kambingmu', 0.8736055136829092]
['kamipun', 0.8736055136829092]
['kampung', 0.8842398331231328]
['kanannya', 0.7953456880020918]
['kandang', 0.8736055136829092]
['kantong', 0.8736055136829092]
['kapalanya', 0.8736055136829092]
['kapas', 0.8545345333145079]
['katakanlah', 0.8619370126214012]
['kaum', 0.7462208267258625]
['kaumku', 0.8736055136829092]
['kaumnya', 0.8736055136829092]
['kawannya', 0.8594862874229509]
['kaya', 0.8736055136829092]
['kayu', 0.8817891079246825]
['keadaanmu', 0.8842398331231328]
['kearahku', 0.8736055136829092]
['kebaikan', 0.7462208267258625]
['kebanyakan', 0.8736055136829092]
['kebenaran', 0.8736055136829092]
['keberadaan', 0.8736055136829092]
['kebesaran', 0.760340052985821]
['kebohongan', 0.893807175776878]
['kebun', 0.8736055136829092]
['keburukan', 0.8545345333145079]
['kebutuhan', 0.8842398331231328]
['kecemburuan', 0.8736055136829092]
['kecuali', 0.627695616695369]
['kedudukanku', 0.8736055136829092]
['keempat', 0.8545345333145079]
['keenam', 0.8545345333145079]
['kehormatan', 0.8545345333145079]
['kehormatannya', 0.8817891079246825]
['keimanan', 0.8736055136829092]
['keinginannya', 0.8817891079246825]
['keislamannya', 0.8736055136829092]
['kejadian', 0.8594862874229509]
['kejelekan', 0.8545345333145079]
['kekurangan', 0.8736055136829092]
['kelahiran', 0.8842398331231328]
['kelapangan', 0.8736055136829092]
['keledai', 0.8842398331231328]
['keliru', 0.8736055136829092]
['kelonggaran', 0.8736055136829092]
['keluarga', 0.8375623144315429]
['keluarganya', 0.8545345333145079]
['keluarkan', 0.8736055136829092]
['keluarkanlah', 0.8736055136829092]
['kemajuan', 0.8842398331231328]
['kemaluan', 0.8736055136829092]
['kemaluanmu', 0.8914258629147468]
['kemaluannya', 0.827979749023619]
['kemampuan', 0.893807175776878]
['kematian', 0.8594862874229509]
['kembalikan', 0.8736055136829092]
['kembalilah', 0.8221507203319027]
['kemenangan', 0.8842398331231328]
['kemiripan', 0.8736055136829092]
['kemudahan', 0.8545345333145079]
['kenabian', 0.8842398331231328]
['kenal', 0.8736055136829092]
['kenalilah', 0.8736055136829092]
['kencing', 0.893807175776878]
['kencingnya', 0.8736055136829092]
['kening', 0.8817891079246825]
['kepada-mu', 0.8817891079246825]
['kepadaku', 0.7861023120761406]
['kepadamu', 0.8117745871100768]
['kepala', 0.7970867316562396]
['kepalaku', 0.8842398331231328]
['kepalamu', 0.8545345333145079]
['kepalanya', 0.8545345333145079]
['keperluan', 0.8545345333145079]
['keperluanku', 0.8736055136829092]
['keperluannya', 0.8736055136829092]
['keputusan', 0.8736055136829092]
['kerajaan', 0.8842398331231328]
['kering', 0.8736055136829092]
['keringanan', 0.8234430881715846]
['keringat', 0.8757089494505432]
['keriting', 0.8545345333145079]
['kerjakanlah', 0.8842398331231328]
['kesalahan', 0.8736055136829092]
['kesejahteraan', 0.8817891079246825]
['keselamatan', 0.8842398331231328]
['kesturi', 0.8736055136829092]
['kesucian', 0.8736055136829092]
['kesuciannya', 0.8736055136829092]
['kesulitan', 0.8736055136829092]
['ketahuilah', 0.8817891079246825]
['ketakutan', 0.8736055136829092]
['keteguhan', 0.8842398331231328]
['ketentuan', 0.8545345333145079]
['ketetapan', 0.8842398331231328]
['ketinggalan', 0.8842398331231328]
['keturunan', 0.8736055136829092]
['keturunannya', 0.8736055136829092]
['kewajiban', 0.8234430881715846]
['khawatir', 0.825893813370035]
['khitan', 0.8842398331231328]
['khitankah', 0.8842398331231328]
['khutbah', 0.8375623144315429]
['kiamat', 0.8736055136829092]
['kiblat', 0.8219434742490321]
['kiblatnya', 0.8842398331231328]
['kirimkan', 0.8736055136829092]
['kirinya', 0.8353971674537767]
['kisah', 0.8619370126214012]
['kismis', 0.8736055136829092]
['kitab', 0.8428660322529999]
['kitab-mu', 0.8817891079246825]
['kitabullah', 0.8817891079246825]
['komandan', 0.8842398331231328]
['kontinyu', 0.8842398331231328]
['kuat', 0.8817891079246825]
['kuatkan', 0.893807175776878]
['kuatkanlah', 0.8736055136829092]
['kubah-kubah', 0.8736055136829092]
['kubur', 0.8736055136829092]
['kuburan', 0.893807175776878]
['kudanya', 0.8736055136829092]
['kufur', 0.8736055136829092]
['kurban', 0.7948491061532027]
['kurma', 0.8736055136829092]
['kutanyakan', 0.8736055136829092]
['lahir', 0.8842398331231328]
['laki-laki', 0.7038341552306159]
['lakukanlah', 0.7624014146989069]
['lambung', 0.8736055136829092]
['lambungnya', 0.8736055136829092]
['lampau', 0.8736055136829092]
['langit', 0.8294705446388447]
['langit-langit', 0.8736055136829092]
['lanjutkanlah', 0.8817891079246825]
['lantas', 0.7807298798932444]
['larang', 0.8598358542136385]
['larangan', 0.8817891079246825]
['lari', 0.8842398331231328]
['lebar', 0.8736055136829092]
['lelaki', 0.8545345333145079]
['lemah', 0.8375623144315429]
['lemahnya', 0.8736055136829092]
['lembaran', 0.8817891079246825]
['lemparlah', 0.8736055136829092]
['lengan', 0.8736055136829092]
['lepaskanlah', 0.8736055136829092]
['liar', 0.8842398331231328]
['lidahmu', 0.8817891079246825]
['limas', 0.8817891079246825]
['lisan', 0.8817891079246825]
['lumpur', 0.8545345333145079]
['luruskanlah', 0.7963142943853294]
['lurusnya', 0.8619370126214012]
['lusuh', 0.8736055136829092]
['lutut', 0.848541525007246]
['maafkanlah', 0.8736055136829092]
['madlarat', 0.8736055136829092]
['maghrib', 0.8817891079246825]
['mahramnya', 0.8708443455089776]
['majlisnya', 0.8842398331231328]
['makanan', 0.8407648738452372]
['makanlah', 0.8691230424130152]
['makkah', 0.8545345333145079]
['malaikat', 0.7963142943853294]
['malam', 0.7067945281689462]
['malam-malam', 0.8736055136829092]
['malammu', 0.8817891079246825]
['malu', 0.8404153070545496]
['manasik', 0.8545345333145079]
['mandi', 0.7807298798932444]
['mandilah', 0.8842398331231328]
['manfaat', 0.8736055136829092]
['mangkuk', 0.8736055136829092]
['mantel', 0.8594862874229509]
['manusia', 0.7462208267258625]
['maqburiy', 0.8817891079246825]
['marilah', 0.8428660322529999]
['maruf', 0.893807175776878]
['masa-masa', 0.8842398331231328]
['masak', 0.8736055136829092]
['masjid', 0.7352760643101577]
['masjid-masjid', 0.8796879495169196]
['masukkan', 0.8817891079246825]
['matahari', 0.6737537797536941]
['matinya', 0.8545345333145079]
['maukah', 0.8619370126214012]
['melaknat', 0.8736055136829092]
['melaksanakan', 0.7120487008034031]
['melaksanakannya', 0.8404153070545496]
['melakukannya', 0.8202159223204522]
['melampaui', 0.8736055136829092]
['melanggar', 0.893807175776878]
['melanjutkan', 0.8221507203319027]
['melarang', 0.8231697250043479]
['melarangku', 0.8817891079246825]
['melawan', 0.8545345333145079]
['melebihi', 0.8736055136829092]
['melempar', 0.8736055136829092]
['melemparlah', 0.8736055136829092]
['meletakkan', 0.8619370126214012]
['meletakkannya', 0.8736055136829092]
['melewati', 0.8736055136829092]
['melihat-nya', 0.8842398331231328]
['melindungi', 0.8736055136829092]
['melipat', 0.8817891079246825]
['meludah', 0.8290853152687667]
['melukai', 0.8736055136829092]
['memakai', 0.848541525007246]
['memakaikan', 0.8736055136829092]
['memakan', 0.8323079209830121]
['memakannya', 0.8545345333145079]
['memalingkan', 0.8545345333145079]
['memandang', 0.8375623144315429]
['memanggil', 0.8736055136829092]
['memasaknya', 0.8736055136829092]
['memasuki', 0.8817891079246825]
['memasukinya', 0.8817891079246825]
['memasukkan', 0.8619370126214012]
['memasukkannya', 0.8545345333145079]
['membaca', 0.760530495159147]
['membacakan', 0.8817891079246825]
['membacakannya', 0.8817891079246825]
['membacanya', 0.8817891079246825]
['membagikannya', 0.8736055136829092]
['membaiat', 0.8715043552751464]
['membalik', 0.8757089494505432]
['membasuh', 0.8545345333145079]
['membawa', 0.7709322983714963]
['membawaku', 0.8736055136829092]
['membebani', 0.893807175776878]
['membebaskan', 0.8234430881715846]
['membebaskannya', 0.8736055136829092]
['membela', 0.8817891079246825]
['membelah', 0.8736055136829092]
['membelakanginya', 0.8821386747153701]
['membenarkan', 0.8545345333145079]
['membentangkan', 0.8842398331231328]
['memberimu', 0.8736055136829092]
['memberinya', 0.8736055136829092]
['membersihkan', 0.893807175776878]
['membuangnya', 0.8842398331231328]
['membuatmu', 0.8817891079246825]
['membunuh', 0.857385129015188]
['membutuhkan', 0.8736055136829092]
['memegang', 0.8513049705410489]
['memelihara', 0.8404153070545496]
['memenuhi', 0.8545345333145079]
['memenuhinya', 0.893807175776878]
['memerangi', 0.8545345333145079]
['memercikinya', 0.8736055136829092]
['memerintahkan', 0.6658488399859682]
['memerintahkanmu', 0.8736055136829092]
['memilih', 0.8817891079246825]
['memiliki', 0.7439614308957317]
['memimpin', 0.8375623144315429]
['meminjamkan', 0.8545345333145079]
['meminum', 0.8619370126214012]
['memisahkan', 0.8545345333145079]
['memohon', 0.8619370126214012]
['memotongnya', 0.8817891079246825]
['memperbaiki', 0.8736055136829092]
['memperbincangkannya', 0.8736055136829092]
['memperhatikan', 0.8842398331231328]
['memperingatkan', 0.8914258629147468]
['memperkerjakan', 0.8736055136829092]
['memperlakukannya', 0.8736055136829092]
['memperoleh', 0.8736055136829092]
['memperolehnya', 0.8736055136829092]
['memperpanjang', 0.8736055136829092]
['mempertakuti', 0.8736055136829092]
['memuji', 0.8619370126214012]
['memuji-nya', 0.7948491061532027]
['menahan', 0.848541525007246]
['menamakan', 0.8817891079246825]
['menanggung', 0.8842398331231328]
['menangis', 0.8234430881715846]
['menanyakannya', 0.8736055136829092]
['menasehati', 0.8736055136829092]
['mencabut', 0.8736055136829092]
['mencari', 0.8736055136829092]
['mencederai', 0.8817891079246825]
['mencela', 0.8817891079246825]
['mencelakakan', 0.8736055136829092]
['menceritakan', 0.7557834148596734]
['mencium', 0.8715043552751464]
['mencuci', 0.8736055136829092]
['mencucinya', 0.8736055136829092]
['mencukur', 0.8736055136829092]
['mencuri', 0.8524333749067451]
['mendampingi', 0.8817891079246825]
['mendapati', 0.8736055136829092]
['mendapatkannya', 0.8817891079246825]
['mendatanginya', 0.8842398331231328]
['mendekati', 0.8708443455089776]
['mendengar', 0.6602549062830325]
['mendengarkannya', 0.8817891079246825]
['mendengarnya', 0.8545345333145079]
['mendidiknya', 0.8736055136829092]
['mendirikan', 0.8079827954468373]
['mendoakan', 0.8375623144315429]
['mendurhakai', 0.8817891079246825]
['menegakkan', 0.8202159223204522]
['menemaniku', 0.8842398331231328]
['menempati', 0.8817891079246825]
['menemui', 0.8375623144315429]
['menemuinya', 0.8736055136829092]
['menemukan', 0.8736055136829092]
['menerangkan', 0.8428660322529999]
['menerima', 0.8736055136829092]
['meneruskan', 0.8619370126214012]
['mengabarkan', 0.8234430881715846]
['mengadakan', 0.8708443455089776]
['mengadu', 0.8736055136829092]
['mengajak', 0.8545345333145079]
['mengajakmu', 0.8842398331231328]
['mengajarkan', 0.8736055136829092]
['mengakhirinya', 0.8736055136829092]
['mengalahkan', 0.8736055136829092]
['mengalami', 0.7594580769176498]
['mengamati', 0.8842398331231328]
['mengambil', 0.8545345333145079]
['mengambilnya', 0.8545345333145079]
['mengangkat', 0.793863569186879]
['mengantar', 0.8817891079246825]
['mengantuk', 0.8736055136829092]
['mengarahkan', 0.8736055136829092]
['mengasingkan', 0.8736055136829092]
['mengeluarkan', 0.825893813370035]
['mengenainya', 0.8736055136829092]
['mengenakan', 0.8205872834665086]
['mengerikan', 0.8736055136829092]
