['adonan', 0.8921985363051652]
['berhak', 0.873560182561719]
['berharap', 0.9070194029944069]
['berhenti', 0.9040730640878492]
['berhijab', 0.9040730640878492]
['berhubungan', 0.9040730640878492]
['berikanlah', 0.8985043763225544]
['berilah', 0.8984405255692033]
['beriman', 0.8431450936298764]
['berisi', 0.848092902774691]
['beristighfar', 0.8971203267764873]
['beristinja', 0.8798727385189317]
['beristirahat', 0.9040730640878492]
['berita', 0.9040730640878492]
['beritahu', 0.8820752092335715]
['beritahukan', 0.8935187350978812]
['beritahukanlah', 0.8984405255692033]
['berjalan', 0.8600930664884697]
['berjamaah', 0.893192610155735]
['berjarak', 0.893192610155735]
['berjatuhan', 0.9040730640878492]
['berjumpa', 0.8913136754174011]
['berkasih', 0.9040730640878492]
['berkatalah', 0.8850037084260287]
['berkelahi', 0.9056992042016909]
['berkembang', 0.9089948545591713]
['berkendaraan', 0.9040730640878492]
['berkiblat', 0.9040730640878492]
['berkomunikasi', 0.9040730640878492]
['berkuda', 0.9040730640878492]
['berkulit', 0.8984405255692033]
['berkumpul', 0.9066932780522607]
['berkumur', 0.8798727385189317]
['berkumur-kumur', 0.8958735568366359]
['berkurang', 0.9089948545591713]
['berkurban', 0.9070194029944069]
['berlaku', 0.9040730640878492]
['berlakulah', 0.9089948545591713]
['berlepas', 0.9040730640878492]
['berlindung', 0.8659384797381915]
['berlomba', 0.9040730640878492]
['berlomba-lomba', 0.9089948545591713]
['berlutut', 0.9070194029944069]
['berlututnya', 0.9066932780522607]
['bermain', 0.8935187350978812]
['bermajelis', 0.9040730640878492]
['bermaksiat', 0.8849398576726775]
['bermalam', 0.8921985363051652]
['bermimpi', 0.8780509711146668]
['bermunajat', 0.9066932780522607]
['bernafas', 0.8958735568366359]
['bernama', 0.8778130075208754]
['berpakaian', 0.893192610155735]
['berpaling', 0.8935187350978812]
['berperang', 0.8918794644550989]
['berpikir', 0.8850037084260287]
['berpisah', 0.9040730640878492]
['berpostur', 0.9056992042016909]
['berpuasa', 0.8866287760648014]
['berputar', 0.8840506607983359]
['bersabda', 0.6760604035834317]
['bersaksi', 0.8483126290599932]
['bersamaku', 0.9070194029944069]
['bersamanya', 0.9056992042016909]
['bersandar', 0.8961389490622927]
['bersedekah', 0.9070194029944069]
['berselisih', 0.9070194029944069]
['bersemi', 0.902433793445067]
['bersepatu', 0.9070194029944069]
['berseri-seri', 0.9056992042016909]
['berseru', 0.9056992042016909]
['bersetubuh', 0.9056992042016909]
['bersih', 0.9070194029944069]
['bersuci', 0.8738777873729232]
['bersumpah', 0.9070194029944069]
['bersyair', 0.9040730640878492]
['bertakbir', 0.8926295382235396]
['bertakwa', 0.9040730640878492]
['bertalbiyah', 0.9056992042016909]
['bertambah', 0.9089948545591713]
['bertanda', 0.9070194029944069]
['bertanyalah', 0.8876239223904402]
['bertasbihlah', 0.8978547852418061]
['bertaubat', 0.9070194029944069]
['bertemu', 0.880433221485287]
['berterima', 0.9056992042016909]
['berukir', 0.9040730640878492]
['berumur', 0.9070194029944069]
['beruntung', 0.9089948545591713]
['berwarna', 0.8807550104408556]
['berwudlu', 0.7727460074794956]
['berzina', 0.9089948545591713]
['betina', 0.9070194029944069]
['biarkan', 0.8921985363051652]
['biarkanlah', 0.8853192278466678]
['biji', 0.8954941866626456]
['bilal', 0.8317757557940603]
['bilangan', 0.8958735568366359]
['binasalah', 0.9040730640878492]
['bodoh', 0.8935187350978812]
['bolehkan', 0.9070194029944069]
['bosan', 0.9089948545591713]
['buang', 0.8430833508646546]
['buanglah', 0.8958735568366359]
['buatku', 0.887560071637089]
['buatmu', 0.9070194029944069]
['budak', 0.8954941866626456]
['budak-budak', 0.9040730640878492]
['bukit', 0.8716414693290075]
['bukti', 0.9066932780522607]
['bumi', 0.864574665952085]
['bumi-nya', 0.9089948545591713]
['buruan', 0.9056992042016909]
['buruanku', 0.9056992042016909]
['buruanmu', 0.9056992042016909]
['buruannya', 0.9056992042016909]
['buruk', 0.9066932780522607]
['buruklah', 0.9040730640878492]
['burung', 0.8816442073151972]
['butung', 0.9040730640878492]
['cabang', 0.9089948545591713]
['cahaya', 0.8768416769322506]
['cahayanya', 0.8948187502695768]
['cairan', 0.9040730640878492]
['cari', 0.8913136754174011]
['celah', 0.9040730640878492]
['celaka', 0.8913136754174011]
['celakalah', 0.9070194029944069]
['celana', 0.8926295382235396]
['cemburu', 0.9040730640878492]
['cepat', 0.9066932780522607]
['cerita', 0.9070194029944069]
['ceritakan', 0.8669325535887612]
['ceritanya', 0.9070194029944069]
['cidukan', 0.8958735568366359]
['cincin', 0.8961389490622927]
['condong', 0.8843541173452802]
['cuci', 0.9056992042016909]
['cucian', 0.8958735568366359]
['dada', 0.9089948545591713]
['daerah', 0.8926295382235396]
['daging', 0.8823728889401101]
['dahan', 0.8921985363051652]
['dahsyat', 0.9066932780522607]
['dahsyatnya', 0.9066932780522607]
['dalamnya', 0.851514189063266]
['dapati', 0.893192610155735]
['darah', 0.8210342664023318]
['dariku', 0.8849398576726775]
['darimu', 0.880433221485287]
['darinya', 0.8417523924515622]
['daripadamu', 0.9070194029944069]
['dasar', 0.9040730640878492]
['datanglah', 0.9040730640878492]
['datangnya', 0.9070194029944069]
['datar', 0.8935187350978812]
['daun', 0.9040730640878492]
['daunnya', 0.8913136754174011]
['dedaunan', 0.9040730640878492]
['delapan', 0.8978547852418061]
['dengan-nya', 0.9089948545591713]
['denganku', 0.9040730640878492]
['dengannya', 0.829688553161115]
['dengar', 0.8961389490622927]
['dengkurannya', 0.9070194029944069]
['depanmu', 0.8958735568366359]
['depannya', 0.8506527008554813]
['derajat', 0.8935187350978812]
['desa', 0.893192610155735]
['diajari', 0.9056992042016909]
['diajarkan', 0.9070194029944069]
['diajarkan-nya', 0.9070194029944069]
['dialami', 0.9040730640878492]
['dialihkan', 0.8954941866626456]
['diam', 0.9089948545591713]
['diam-diam', 0.9040730640878492]
['diambil', 0.9070194029944069]
['diambilkan', 0.8731554671724647]
['diambilnya', 0.8921985363051652]
['diampuni', 0.8905592656623831]
['diangkat', 0.8984405255692033]
['diangkatnya', 0.9070194029944069]
['diatas', 0.8849398576726775]
['diatasnya', 0.8926295382235396]
['dibaca', 0.8978547852418061]
['dibakar', 0.9056992042016909]
['dibandingkan', 0.8985043763225544]
['dibangun', 0.8620685180532341]
['dibawah', 0.9040730640878492]
['dibelakangnya', 0.9040730640878492]
['diberitakan', 0.9066932780522607]
['diberkahi', 0.9056992042016909]
['dibunuh', 0.8850037084260287]
['dicampurlah', 0.9056992042016909]
['dicari', 0.9070194029944069]
['dicintai-nya', 0.9089948545591713]
['dicintainya', 0.9089948545591713]
['didahului', 0.9070194029944069]
['didalam', 0.8984405255692033]
['didapatinya', 0.8961389490622927]
['didapatkan', 0.8958735568366359]
['didebat', 0.9070194029944069]
['didepan', 0.9040730640878492]
['didirikan', 0.9040730640878492]
['didudukkan', 0.9056992042016909]
['didustakan', 0.9070194029944069]
['digantungkan', 0.9040730640878492]
['dihadapanku', 0.9040730640878492]
['dihadapannya', 0.8926295382235396]
['dihadapkan', 0.9089948545591713]
['dihadirkan', 0.9056992042016909]
['dihalalkan', 0.9040730640878492]
['dihapannya', 0.9040730640878492]
['diharamkan-nya', 0.9089948545591713]
['dihiasi', 0.9040730640878492]
['dihidupkan', 0.9089948545591713]
['dihisab', 0.9070194029944069]
['dihitung', 0.8921985363051652]
['diikat', 0.9040730640878492]
['diikatkan', 0.9040730640878492]
['diikatkanlah', 0.9040730640878492]
['diikatkannya', 0.9040730640878492]
['diikuti', 0.8926295382235396]
['diiringi', 0.8926295382235396]
['dijadikan', 0.8954941866626456]
['dijadikannya', 0.9040730640878492]
['dijamu', 0.9070194029944069]
['dikabulkan', 0.9040730640878492]
['dikalahkan', 0.8981144006270572]
['dikamarnya', 0.9066932780522607]
['dikaruniai', 0.9056992042016909]
['dikehendaki-nya', 0.9040730640878492]
['dikehendakinya', 0.9056992042016909]
['dikembalikan', 0.8951448752117229]
['dikenakan', 0.9040730640878492]
['dikenali', 0.9070194029944069]
['dikeraskan', 0.9040730640878492]
['dikhawatirkan', 0.8840506607983359]
['dikuatkan', 0.8849931029045217]
['dikuburnya', 0.9040730640878492]
['dikumandangkan', 0.9056992042016909]
['dilaksanakan', 0.9070194029944069]
['dilakukannya', 0.8926295382235396]
['dilalaikan', 0.9066932780522607]
['dilanjutkan', 0.8978547852418061]
['dilarang', 0.8981144006270572]
['dilepas', 0.9056992042016909]
['diletakkan', 0.8807550104408556]
['dimaafkannya', 0.9089948545591713]
['dimana', 0.8739430458359181]
['dimasukkan', 0.9089948545591713]
['diminum', 0.9070194029944069]
['diminumkan', 0.9056992042016909]
['diminumnya', 0.9070194029944069]
['dinding', 0.8232607291222078]
['dingin', 0.9066932780522607]
['dipakaikannya', 0.9040730640878492]
['dipanjatkan', 0.9056992042016909]
['dipapah', 0.9056992042016909]
['diperbatasan', 0.9040730640878492]
['diperingatkan', 0.9040730640878492]
['diperintah', 0.9040730640878492]
['diperintahkan', 0.8740594037405633]
['diperjalanan', 0.9040730640878492]
['diperkuat', 0.8958735568366359]
['dipindahkan', 0.9040730640878492]
['dipotong', 0.8935187350978812]
['diratakan', 0.9040730640878492]
['dirawat', 0.9056992042016909]
['dirikan', 0.9089948545591713]
['dirikanlah', 0.9066932780522607]
['diringankan', 0.9056992042016909]
['diriwayatkan', 0.9070194029944069]
['disabdakannya', 0.9070194029944069]
['disajikan', 0.9056992042016909]
['disamak', 0.9040730640878492]
['disampingku', 0.9040730640878492]
['disampingnya', 0.9040730640878492]
['disana', 0.9040730640878492]
['disebabkan', 0.9056992042016909]
['disembah', 0.873560182561719]
['diserahkan', 0.9070194029944069]
['disibukkan', 0.9070194029944069]
['disiksa', 0.8816442073151972]
['disiksanya', 0.9089948545591713]
['disisiku', 0.9040730640878492]
['disucikannya', 0.9070194029944069]
['ditancapkan', 0.8926295382235396]
['ditandai', 0.9040730640878492]
['ditebang', 0.9070194029944069]
['ditempelkan', 0.9056992042016909]
['ditempuh', 0.9070194029944069]
['diterangkan', 0.9089948545591713]
['diterima', 0.8958735568366359]
['ditetapkanlah', 0.9040730640878492]
['ditolong', 0.9040730640878492]
['ditulis', 0.8954941866626456]
['dituliskan', 0.9070194029944069]
['ditumbangkan', 0.9040730640878492]
['diturunkan', 0.9056992042016909]
['diturunkannya', 0.9089948545591713]
['ditutup', 0.8817490842914254]
['diukir', 0.9040730640878492]
['diulangnya', 0.9070194029944069]
['diumumkan', 0.9070194029944069]
['diutus', 0.8702006814508876]
['diwahyukan', 0.8951448752117229]
['diwajibkan', 0.8981144006270572]
['diwajibkannya', 0.9040730640878492]
['doa', 0.9056992042016909]
['domba', 0.9056992042016909]
['dongkol', 0.9089948545591713]
['dosa', 0.852443004450841]
['dosa-dosanya', 0.902433793445067]
['dosanya', 0.8958735568366359]
['duduk', 0.7928095918117735]
['duduknya', 0.8851077341559941]
['dunia', 0.8656150719015476]
['durinya', 0.9070194029944069]
['durjana', 0.9040730640878492]
['dzat', 0.9066932780522607]
['emasnya', 0.9070194029944069]
['faham', 0.9070194029944069]
['fajar', 0.893192610155735]
['fakir', 0.9070194029944069]
['faqihkan', 0.9070194029944069]
['fardlu', 0.9040730640878492]
['fasiq', 0.9089948545591713]
['firman', 0.9066932780522607]
['firman-nya', 0.9089948545591713]
['fitnah', 0.8622487267112305]
['gaduh', 0.9070194029944069]
['gajah', 0.9070194029944069]
['gambarnya', 0.9040730640878492]
['gamis', 0.9040730640878492]
['gandum', 0.8823728889401101]
['ganjil', 0.8958735568366359]
['ganti', 0.9040730640878492]
['gantilah', 0.9040730640878492]
['gantung', 0.9040730640878492]
['gantungan', 0.9040730640878492]
['gedung-gedung', 0.9089948545591713]
['gelap', 0.8843541173452802]
['gelas', 0.8958735568366359]
['gembira', 0.887560071637089]
['gendong', 0.9040730640878492]
['generasi', 0.9066932780522607]
['golongan', 0.9040730640878492]
['gosong', 0.9089948545591713]
['gulita', 0.9040730640878492]
['gundukan', 0.9040730640878492]
['gunung', 0.9040730640878492]
['hadapan', 0.8850037084260287]
['hadapanku', 0.8935187350978812]
['hadapannya', 0.8825219232611217]
['hadapi', 0.9070194029944069]
['hadapkan', 0.9089948545591713]
['hadats', 0.8958735568366359]
['hadir', 0.8742272802238799]
['hadits', 0.7412724129551747]
['haditsnya', 0.8984405255692033]
['hafal', 0.9040730640878492]
['haid', 0.9040730640878492]
['hajat', 0.8430833508646546]
['haji', 0.8889331255485412]
['hajinya', 0.9040730640878492]
['hal-hal', 0.9089948545591713]
['halal', 0.8899254988973508]
['halaman', 0.9040730640878492]
['hamba-hambaku', 0.9066932780522607]
['hamba-ku', 0.9070194029944069]
['hamparan', 0.9040730640878492]
['hamparkanlah', 0.9070194029944069]
['hantam', 0.8984405255692033]
['hapuslah', 0.8978547852418061]
['haram', 0.8573596023129878]
['haramnya', 0.8935187350978812]
['harga', 0.9040730640878492]
['hari-hari', 0.9070194029944069]
['haripun', 0.9040730640878492]
['harta', 0.8341431479237366]
['hartanya', 0.8817490842914254]
['harumnya', 0.9056992042016909]
['harus', 0.8846137327305315]
['hasil', 0.9056992042016909]
['hasta', 0.8926295382235396]
['hati', 0.8698637698867207]
['hatinya', 0.8865659977865193]
['helai', 0.8921985363051652]
['hembusan', 0.8838159479703712]
['hendaklah', 0.6861693928487472]
['heran', 0.9089948545591713]
['hewan', 0.8826382811657669]
['hidangan', 0.9040730640878492]
['hidayah', 0.9070194029944069]
['hidup', 0.8981144006270572]
['hijab', 0.8921985363051652]
['hijabilah', 0.9056992042016909]
['hilal', 0.9056992042016909]
['hilang', 0.8951448752117229]
['hilangnya', 0.8961389490622927]
['hilir', 0.9070194029944069]
['hinggap', 0.9070194029944069]
['hisab', 0.9070194029944069]
['hisabnya', 0.9070194029944069]
['hitungan', 0.9066932780522607]
['hubungan', 0.9056992042016909]
['hujan', 0.8961389490622927]
['hukum', 0.9089948545591713]
['hutangmu', 0.9040730640878492]
['hutangnya', 0.9040730640878492]
['ibuku', 0.9066932780522607]
['ihsan', 0.9089948545591713]
['ikatannya', 0.9056992042016909]
['ikuti', 0.9070194029944069]
['ilmu', 0.8707080810692505]
['ilmu-ilmu', 0.9070194029944069]
['ilmuku', 0.9070194029944069]
['ilmumu', 0.9070194029944069]
['ilmunya', 0.9070194029944069]
['imam', 0.8926295382235396]
['imbalan', 0.9070194029944069]
['ingatkanlah', 0.9040730640878492]
['intailah', 0.9089948545591713]
['iqamah', 0.9056992042016909]
['iqamat', 0.9056992042016909]
['islam', 0.8155953557826803]
['isteri', 0.8958735568366359]
['isteri-isteri', 0.8921985363051652]
['isteri-isterinya', 0.9056992042016909]
['isterinya', 0.8823728889401101]
['istintsaq', 0.9056992042016909]
['istrimu', 0.9089948545591713]
['isyarat', 0.8515780398166173]
['izin', 0.9056992042016909]
['jadikan', 0.8926295382235396]
['jadikanlah', 0.8825219232611217]
['jagalah', 0.8849398576726775]
['jahannam', 0.8838159479703712]
['jalan-nya', 0.9089948545591713]
['jalannya', 0.9070194029944069]
['jamrah', 0.9066932780522607]
['janabat', 0.9056992042016909]
['jangan', 0.7835217445338863]
['janganlah', 0.7075911110085205]
['jarak', 0.8825219232611217]
['jaraknya', 0.893192610155735]
['jari-jarinya', 0.9066932780522607]
['jarinya', 0.9066932780522607]
['jatuh', 0.8692341300956719]
['jauhkanlah', 0.9056992042016909]
['jejak', 0.8913136754174011]
['jemarinya', 0.8926295382235396]
['jenggot', 0.9066932780522607]
['jenis', 0.9070194029944069]
['jihad', 0.9089948545591713]
['jiwa', 0.9070194029944069]
['jual', 0.893192610155735]
['jujur', 0.9089948545591713]
['julukanku', 0.9070194029944069]
['jumat', 0.9089948545591713]
['jumrah', 0.9070194029944069]
['jurang', 0.9089948545591713]
['kabah', 0.8007575415263368]
['kabar', 0.8984405255692033]
['kabarkan', 0.8948187502695768]
['kafarahnya', 0.9040730640878492]
['kafarat', 0.9089948545591713]
['kafir', 0.8741232544939145]
['kahfi', 0.9070194029944069]
['kainku', 0.9040730640878492]
['kainmu', 0.9040730640878492]
['kainnya', 0.8709293630758006]
['kaki', 0.7956535569949843]
['kakiku', 0.8825219232611217]
['kakinya', 0.8240093358517864]
['kalangan', 0.8985043763225544]
['kalbi', 0.9040730640878492]
['kalimat', 0.8669325535887612]
['kamarku', 0.9066932780522607]
['kamarnya', 0.8978547852418061]
['kambing', 0.8417723175562277]
['kampung', 0.8984405255692033]
['kanannya', 0.7894464964363876]
['kandang', 0.8921985363051652]
['kantong', 0.9070194029944069]
['kantuk', 0.8948187502695768]
['kantuknya', 0.8948187502695768]
['kapal', 0.9070194029944069]
['kapur', 0.9040730640878492]
['karunia-ku', 0.9066932780522607]
['kasih', 0.9056992042016909]
['kasihan', 0.9040730640878492]
['katakanlah', 0.8778130075208754]
['kaum', 0.7996561288781723]
['kaumku', 0.9070194029944069]
['kaummu', 0.9070194029944069]
['kaumnya', 0.9040730640878492]
['kaya', 0.9070194029944069]
['kayu', 0.8926295382235396]
['keadaannya', 0.9056992042016909]
['kebaikan', 0.8472163239516947]
['keberadaan', 0.9040730640878492]
['keberkahan', 0.8958735568366359]
['kebodohan', 0.8913136754174011]
['kebohongan', 0.9089948545591713]
['kebosanan', 0.9070194029944069]
['kebun', 0.8926295382235396]
['keburukan', 0.9066932780522607]
['kecuali', 0.6565949518007144]
['kediaman', 0.9040730640878492]
['keenam', 0.9066932780522607]
['kehausan', 0.9056992042016909]
['kehendak-nya', 0.9066932780522607]
['kehendaki', 0.8961389490622927]
['keheranan', 0.9040730640878492]
['kehidupan', 0.8954941866626456]
['kehilangan', 0.880433221485287]
['kehormatan', 0.8985043763225544]
['kehormatannya', 0.9089948545591713]
['keislaman', 0.9040730640878492]
['keislamannya', 0.9089948545591713]
['kejadian', 0.8820752092335715]
['kejelekan', 0.9089948545591713]
['kekacauan', 0.9070194029944069]
['kekasih', 0.8926295382235396]
['kekasihku', 0.9040730640878492]
['kekufuran', 0.9070194029944069]
['kelak', 0.9070194029944069]
['kelapangan', 0.9040730640878492]
['keledai', 0.8935187350978812]
['keledaiku', 0.9040730640878492]
['kelelahan', 0.9070194029944069]
['keluarga', 0.8842644212796087]
['keluarganya', 0.868262799507047]
['keluarkan', 0.9089948545591713]
['keluarlah', 0.9070194029944069]
['kelupaanku', 0.9070194029944069]
['kemah', 0.9040730640878492]
['kemaluannya', 0.8849931029045217]
['kembalikan', 0.9066932780522607]
['kembalilah', 0.8985043763225544]
['kemerahan', 0.9066932780522607]
['kemerdekaan', 0.9040730640878492]
['kemiripan', 0.9070194029944069]
['kemudahan', 0.8921985363051652]
['kenabian', 0.9056992042016909]
['kenal', 0.902433793445067]
['kenalilah', 0.9070194029944069]
['kencing', 0.8670938671968196]
['kencingnya', 0.9056992042016909]
['kendaraan', 0.9040730640878492]
['kendaraannya', 0.8948187502695768]
['kentut', 0.8958735568366359]
['kenyang', 0.9056992042016909]
['kepada-ku', 0.9089948545591713]
['kepada-mu', 0.8823728889401101]
['kepadaku', 0.7351043978463084]
['kepadamu', 0.8718543440600833]
['kepala', 0.852443004450841]
['kepalaku', 0.8958735568366359]
['kepalanya', 0.8409994785865313]
['kepalnya', 0.9040730640878492]
['keperluan', 0.8820752092335715]
['keperluanku', 0.9040730640878492]
['keponakan', 0.9089948545591713]
['kepunyaan', 0.9040730640878492]
['keputusan', 0.9070194029944069]
['kerancuan', 0.9066932780522607]
['kerancuannya', 0.9066932780522607]
['keranjang', 0.9070194029944069]
['keras', 0.9070194029944069]
['keringanan', 0.9070194029944069]
['kerjakanlah', 0.9066932780522607]
['kerudung', 0.893192610155735]
['kesalahan', 0.893192610155735]
['kesuciannya', 0.9070194029944069]
['kesulitan', 0.8951448752117229]
['ketahuilah', 0.8712091384136047]
['ketakutan', 0.8921985363051652]
['ketentuan', 0.9040730640878492]
['ketiaknya', 0.9040730640878492]
['kewajiban', 0.8935187350978812]
['khaibar', 0.9040730640878492]
['khawatir', 0.8652847616834598]
['khusyuk', 0.9040730640878492]
['khutbah', 0.8985043763225544]
['kiamat', 0.8525395212772715]
['kiblat', 0.7991846466443393]
['kiblatku', 0.9040730640878492]
['kiblatnya', 0.8650850664988264]
['kirinya', 0.8219501084290053]
['kisah', 0.8913136754174011]
['kitab', 0.876424831000825]
['kitab-kitab-nya', 0.9089948545591713]
['kitab-nya', 0.8985043763225544]
['kitabullah', 0.8778130075208754]
['kiyamat', 0.9040730640878492]
['kondisi', 0.9089948545591713]
['kontinyu', 0.9089948545591713]
['korban', 0.9070194029944069]
['kota', 0.8978547852418061]
['kotoran', 0.8948187502695768]
['kuatkan', 0.9066932780522607]
['kuatkanlah', 0.9040730640878492]
['kubur', 0.9070194029944069]
['kuburan', 0.8426562097261745]
['kuburan-kuburan', 0.9040730640878492]
['kuburannya', 0.8825219232611217]
['kuburnya', 0.8935187350978812]
['kufur', 0.9089948545591713]
['kukatakan', 0.9070194029944069]
['kuku-kukuku', 0.9070194029944069]
['kulit', 0.8706473954784377]
['kurma', 0.8169523492883797]
['kuserahkan', 0.9040730640878492]
['kutukan', 0.9040730640878492]
['lafadz', 0.9040730640878492]
['laki-laki', 0.7580941525607148]
['lakukanlah', 0.8737997883553122]
['lalang', 0.9040730640878492]
['lampu', 0.8825219232611217]
['landasan', 0.9089948545591713]
['landasannya', 0.9040730640878492]
['langit', 0.8843541173452802]
['langkah', 0.9040730640878492]
['lantas', 0.8315833451936607]
['lapang', 0.9056992042016909]
['lapar', 0.9070194029944069]
['larangan', 0.9089948545591713]
['lari', 0.8985043763225544]
['laut', 0.8961389490622927]
['lautan', 0.8913136754174011]
['layak', 0.9040730640878492]
['lebar', 0.8702006814508876]
['lebat', 0.9070194029944069]
['lebihnya', 0.9040730640878492]
['leher', 0.9056992042016909]
['lelah', 0.9070194029944069]
['lelaki', 0.9056992042016909]
['lemah', 0.8935187350978812]
['lembah', 0.8482890126124747]
['lembaran', 0.9070194029944069]
['lemparan', 0.9040730640878492]
['lemparlah', 0.9070194029944069]
['lepas', 0.9040730640878492]
['lepaskanlah', 0.9040730640878492]
['letakkan', 0.8926295382235396]
['letaknya', 0.9040730640878492]
['liat', 0.9040730640878492]
['limas', 0.9040730640878492]
['lindungi', 0.8935187350978812]
['lisan', 0.902433793445067]
['ludah', 0.9070194029944069]
['lukanya', 0.9056992042016909]
['lurus', 0.8954941866626456]
['luruskan', 0.9040730640878492]
['lusuh', 0.9040730640878492]
['mabrur', 0.9089948545591713]
['maghrib', 0.817121663975777]
['maharnya', 0.9040730640878492]
['maju', 0.9040730640878492]
['makanan', 0.8409994785865313]
['makanan-makanan', 0.9040730640878492]
['makanlah', 0.8958735568366359]
['makhluk', 0.8926295382235396]
['makkah', 0.8645503032181411]
['makmum', 0.9040730640878492]
['malaikat', 0.845109858402507]
['malaikat-malaikat-nya', 0.9089948545591713]
['malam', 0.7732240597076279]
['malam-malam', 0.9040730640878492]
['malas', 0.8985043763225544]
['malu', 0.8564671277201603]
['mandi', 0.862997333440809]
['mani', 0.8958735568366359]
['mantel', 0.9040730640878492]
['manusia', 0.7859542608714125]
['maqam', 0.8926295382235396]
['maqdis', 0.8737940115149065]
['maruf', 0.8981144006270572]
['masak', 0.9040730640878492]
['masanya', 0.9040730640878492]
['masjid', 0.7253554914590598]
['masjidnya', 0.9040730640878492]
['matahari', 0.8156721975038379]
